HiSeq_ID,PIT_Floy_tag,Alias,Species,MU,Wild_Hatchery,Inc1_Exc0,Date,River,RM,Length,Weight,Sex,Lat,Long,NH_Pal,NH_Hyb,NH_SVS
RSP_001,4704550E5B,GPM-048,PLS,GPMU,w,1,5/6/19,Yellowstone,6.6,1354,,M,47.89594,-103.95837,,,
RSP_002,444334021A,MOS-053,PLS,GPMU,w,1,5/7/19,Yellowstone,5.7,1440,,M,,,,,
RSP_003,1F557B2071,MOS-065,PLS,GPMU,w,1,6/9/19,Yellowstone,4,1417,,M,47.93047,-103.96272,,,
RSP_004,1F4A143350,SA-002,PLS,GPMU,w,1,5/28/19,Yellowstone,4.6,1375,,M,47.92253,-103.96469,,,
RSP_007,003C06F43B,MOS-062,PLS,GPMU,w,1,6/19/19,Yellowstone,6,1450,,M,47.90357,-103.95621,,,
RSP_009,7F7B023408,GPM-045,PLS,GPMU,w,1,6/13/19,Yellowstone,6.3,1475,,,47.90007,-103.95642,,,
RSP_011,220D4E6A57,MOS-042,PLS,GPMU,w,1,6/19/19,Yellowstone,6,1455,,M,47.90357,-103.95621,,,
RSP_012,41475D3C5D,MOS-110,PLS,GPMU,w,1,6/13/19,Yellowstone,6.3,1442,,M,47.90007,-103.95642,,,
RSP_015,115669540A,MOS-106,PLS,GPMU,w,1,6/13/19,Yellowstone,6.3,1360,,M,47.90007,-103.95642,,,
RSP_016,4443250A24,MOS-052,PLS,GPMU,w,0,7/10/19,Missouri,1579,1460,,F,,,,,
RSP_017,4718447879,GPM-055,PLS,GPMU,w,1,7/10/19,Yellowstone,17,1330,,M,,,,,
RSP_018,7F7D7C2E4B,GPM-077,PLS,GPMU,w,1,7/10/19,Yellowstone,9,1400,,F,,,,,
RSP_020,1F48421542,GPM-078,PLS,GPMU,w,1,7/10/19,Missouri,1578,1505,,F,,,,,
RSP_021,1F4A2F3A2E,PF-007,PLS,GPMU,w,1,7/10/19,Yellowstone,7,1397,,M,,,,,
RSP_023,220F0F7677,MOS-048,PLS,GPMU,w,1,7/10/19,Missouri,1557,1470,,M,,,,,
RSP_024,4A49070E13,GPM-076,PLS,GPMU,w,1,7/10/19,Missouri,1557,1408,,F,,,,,
RSP_030,2204657963,GPM-018,PLS,GPMU,w,1,6/12/19,Missouri,1560,1524,,F,48.04791,-103.76017,,,
RSP_031,4627463568,MOS-657,PLS,CLMU,w,1,5/14/19,Missouri,465.6,859,2630,F,,,1,0.0005,0
RSP_032,46267D2971,MOS-586,PLS,CLMU,w,1,5/14/19,Missouri,652,860,1686,F,,,0.995,0.00489,0
RSP_033,4715674971,MOS-681,PLS,CLMU,w,1,5/14/19,Missouri,670,852,2450,NA,,,0.998,0.00187,0
RSP_034,48685B0B62,MOS-440,PLS,CLMU,w,1,5/14/19,Missouri,654.8,1075,4580,NA,,,0.999,0.0008,0
RSP_035,462764734F,MOS-658,PLS,CLMU,w,1,5/14/19,Missouri,465.6,850,2190,NA,,,0.999,0.00113,0
RSP_036,4627753443,,PLS,GPMU,h,0,5/14/19,Missouri,747,900,2806,NA,,,0.998,0.00208,0
RSP_037,46280B5C1C,MOS-100,PLS,CLMU,w,1,5/14/19,Missouri,576.8,954,2708,F,,,0.999,0.00083,0
RSP_038,46270E6D7B,,PLS,CLMU,w,1,5/14/19,Missouri,657.8,924,3436,NA,,,1,0.00045,0
RSP_039,4348472475,,PLS,GPMU,h,0,5/14/19,Missouri,675.6,902,3370,NA,,,0.999,0.00105,0
RSP_040,4348465D00,,PLS,GPMU,h,1,5/14/19,Missouri,738.4,923,3456,NA,,,0.998,0.00189,0
RSP_041,47155A172A,,PLS,GPMU,h,0,5/14/19,Missouri,738.4,800,2198,NA,,,0.999,0.00059,0
RSP_042,471A2F6D1B,MOS-642,PLS,CLMU,w,1,5/14/19,Missouri,535,975,3230,F,,,0.999,0.00085,0
RSP_043,46277B6F29,MOS-652,PLS,CLMU,w,1,5/14/19,Missouri,517.7,900,2444,F,,,0.979,0.02111,0
RSP_045,470A676363,MOS-703,PLS,CLMU,w,1,5/14/19,Missouri,799,890,2220,M,,,0.999,0.00073,0
RSP_046,4627017870,MOS-399,PLS,CLMU,w,1,5/14/19,Missouri,577.2,1035,4055,NA,,,0.998,0.00239,0
RSP_047,412C37665D,MOS-301,PLS,CLMU,w,1,5/14/19,Missouri,593,1052,3668,NA,,,1,0.00046,0
RSP_048,4627156C74,MOS-561,PLS,CLMU,w,1,5/14/19,Missouri,582.8,940,2768,M,,,0.999,0.00053,0
RSP_049,470C244359,MOS-692,PLS,GPMU,h,1,5/14/19,Missouri,789,915,2935,NA,,,0.998,0.00175,0
RSP_050,434A4C0328,MOS-688,PLS,GPMU,h,1,5/14/19,Missouri,720,901,2497,NA,,,0.995,0.00479,0
RSP_051,4626564564,MOS-621,PLS,CLMU,w,1,5/14/19,Missouri,595,975,3254,NA,,,1,0.00042,0
RSP_052,4713167929,MOS-680,PLS,CLMU,w,1,5/14/19,Missouri,665.8,961,3220,NA,,,0.998,0.0018,0
RSP_053,47032D1576,MOS-640,PLS,CLMU,w,1,5/14/19,Missouri,536.9,1000,3872,M,,,0.991,0.00904,0
RSP_054,47160E450B,MOS-416,PLS,CLMU,w,1,5/14/19,Missouri,532.2,1053,4156,NA,,,1,0.00037,0
RSP_055,4704214268,MOS-659,PLS,CLMU,w,1,5/14/19,Missouri,453.8,820,2100,F,,,0.995,0.00465,0
RSP_056,4368022F2E,MOS-687,PLS,CLMU,w,1,5/14/19,Missouri,523.9,874,2260,NA,,,0.998,0.00213,0
RSP_057,4.63E+259,MOS-647,PLS,CLMU,w,1,5/14/19,Missouri,495,949,3000,M,,,0.997,0.00261,0
RSP_058,4715591B05,MOS-641,PLS,CLMU,w,1,5/14/19,Missouri,658.6,960,3242,M,,,0.501,0.49885,0
RSP_059,6C00112047,MOS-702,PLS,CLMU,w,1,5/14/19,Missouri,590,801,1896,F,,,0.999,0.00089,0
RSP_060,4717595D25,,PLS,CLMU,w,1,5/14/19,Missouri,693.6,980,3668,NA,,,0.999,0.0015,0
RSP_061,4712672021,A5,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_062,6C00091263,RSP-062,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_063,6C00095733,RSP-063,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_064,461E0E543C,RSP-064,PLS,GPMU,h,0,5/20/19,,,,,,,,,,
RSP_065,4628143464,AH79,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_066,462268474B,AH40,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_069,487E794B66,U72,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_070,6C00090635,RSP-070,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_072,4A4A240E64,RSP-072,PLS,GPMU,h,0,5/20/19,,,,,,,,,,
RSP_074,487E436F34,RSP-074,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_076,0A14081F7D,RSP-076,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_078,6C00096228,RSP-078,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_080,4625737B6D,N78,PLS,GPMU,h,0,5/20/19,,,,,,,,,,
RSP_081,46236F0941,K55,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_082,462717627B,Q52,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_083,462775272A,T36,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_084,4625685912,N26,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_086,4624295C3A,J46,PLS,GPMU,h,0,5/20/19,,,,,,,,,,
RSP_088,423A413255,AC18,PLS,GPMU,h,1,5/20/19,,,,,,,,,,
RSP_089,42575F3607,AD14,PLS,GPMU,h,0,5/20/19,,,,,,,,,,
RSP_090,425536071B,AC75,PLS,GPMU,h,0,5/20/19,,,,,,,,,,
RSS_001,222,,SVS,CLMU,w,1,5/17/19,Missouri,311,630,1150,F,,,0,0.00075,0.999
RSS_002,,,SVS,CLMU,w,1,5/7/19,Missouri,310,,,,,,0,0.00057,0.999
RSS_005,225,,SVS,CLMU,w,1,5/17/19,Missouri,311,610,1020,F,,,0,0.00104,0.999
RSS_006,223,,SVS,CLMU,w,1,5/17/19,Missouri,311,658,1290,F,,,0,0.00084,0.999
RSS_007,243,,SVS,CLMU,w,1,5/24/19,Missouri,311,602,895,F,,,0,0.00121,0.999
RSS_008,211,,SVS,CLMU,w,1,5/17/19,Missouri,326,662,1145,F,,,0,0.13539,0.865
RSS_010,208,,SVS,CLMU,w,1,5/17/19,Missouri,326,573,795,F,,,0,0.00062,0.999
RSS_011,248,,SVS,CLMU,w,1,5/24/19,Missouri,311,623,1095,F,,,0,0.02183,0.978
RSS_013,244,,SVS,CLMU,w,1,5/24/19,Missouri,311,646,1175,F,,,0,0.00088,0.999
RSS_014,,,SVS,CLMU,w,1,5/1/19,Missouri,311,,,,,,0,0.0007,0.999
RSS_015,207,,SVS,CLMU,w,1,5/24/19,Missouri,326,581,725,F,,,0,0.00262,0.997
RSS_017,206,,SVS,CLMU,w,1,4/25/19,Missouri,326,598,825,F,,,0,0.01133,0.989
RSS_018,213,,SVS,CLMU,w,1,4/25/19,Missouri,326,614,845,M,,,0,0.00042,1
RSS_019,216,,SVS,CLMU,w,1,5/20/19,Missouri,326,654,940,M,,,0,0.00037,1
RSS_020,,,SVS,CLMU,w,1,5/7/19,Missouri,311,,,,,,0,0.00042,1
RSS_022,250,,SVS,CLMU,w,1,5/7/19,Missouri,311,673,1120,F,,,0,0.00111,0.999
RSS_023,210,,SVS,CLMU,w,1,4/25/19,Missouri,326,684,1250,M,,,0,0.00054,0.999
RSS_024,247,,SVS,CLMU,w,1,5/21/19,Missouri,311,625,940,M,,,0,0.1444,0.856
RSS_025,212,,SVS,CLMU,w,1,4/25/19,Missouri,326,612,1065,F,,,0,0.02702,0.973
RSS_026,205,,SVS,CLMU,w,1,5/20/19,Missouri,326,691,1245,M,,,0,0.00046,1
RSS_027,,,SVS,CLMU,w,1,5/7/19,Missouri,310,,,,,,0,0.00069,0.999
RSS_028,,,SVS,CLMU,w,1,5/7/19,Missouri,311,,,,,,0,0.01038,0.99
RSS_029,215,,SVS,CLMU,w,1,5/20/19,Missouri,326,699,1395,M,,,0,0.00059,0.999
RSS_030,224,,SVS,CLMU,w,1,5/7/19,Missouri,311,657,1355,F,,,0,0.00047,1
RSS_031,,,SVS,GPMU,w,0,5/4/19,Yellowstone,7.9,740,,,47.87657,-103.96102,0,0.001,0.999
RSS_032,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,640,,,47.87657,-103.96102,0,0.001,0.999
RSS_033,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,892,,,47.87657,-103.96102,0,0,1
RSS_034,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,717,,,47.87657,-103.96102,0,0.001,0.999
RSS_035,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,741,,,47.87657,-103.96102,0,0.001,0.999
RSS_037,,,SVS,GPMU,w,1,6/9/19,Yellowstone,3.9,780,,,47.93297,-103.96683,0,0.014,0.986
RSS_038,,,SVS,GPMU,w,1,7/12/19,Yellowstone,62,860,1750,,47.37186,-104.39828,0,0.005,0.995
RSS_039,,,SVS,GPMU,w,1,5/7/19,Yellowstone,2.1,928,,,47.95536,-103.9632,0,0.002,0.998
RSS_040,,,SVS,GPMU,w,1,6/14/19,Yellowstone,7.1,760,,,47.88811,-103.9587,0,0,1
RSS_041,,,SVS,GPMU,w,1,5/8/19,Missouri,1552.1,624,,,48.11217,-103.70777,,,
RSS_042,,,SVS,GPMU,w,1,6/6/19,Yellowstone,50,832,2810,,47.47076,-104.27972,0,0,1
RSS_043,,,SVS,GPMU,w,1,6/14/19,Yellowstone,7.1,680,,,47.88811,-103.9587,0,0.003,0.997
RSS_044,,,SVS,GPMU,w,1,6/14/19,Yellowstone,7,770,,,47.89015,-103.95919,0,0.001,0.999
RSS_045,,,SVS,GPMU,w,1,6/7/19,Yellowstone,3.2,875,,,47.93977,-103.96249,0,0.002,0.998
RSS_046,8459,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.003,0.997
RSS_047,,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.011,0.989
RSS_048,8447,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0,1
RSS_050,8466,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.005,0.995
RSS_051,8407,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.001,0.999
RSS_052,8473,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.011,0.989
RSS_053,8933,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0,1
RSS_054,8585,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.003,0.997
RSS_055,8455,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0,1
RSS_061,,,SVS,GPMU,w,1,8/29/19,Missouri ,1661.5,570,,,48.08678,-105.00109,0,0.001,0.999
RSS_062,,,SVS,GPMU,w,1,8/29/19,Missouri ,1661.5,693,,,48.08416,-104.99532,0,0.007,0.993
RSS_063,,,SVS,GPMU,w,1,8/29/19,Missouri ,1664,626,,,48.05824,-105.04082,0,0.001,0.999
RSS_064,,,SVS,GPMU,w,1,8/29/19,Missouri ,1661.5,545,,,48.08677,-105.0011,0,0.004,0.996
RSS_065,,,SVS,GPMU,w,1,8/29/19,Missouri ,1664,600,,,48.05824,-105.04082,0,0.002,0.998
RSS_066,,,SVS,GPMU,w,1,8/29/19,Missouri ,1664,676,,,48.05824,-105.04082,0,0.001,0.999