MiSeq_ID,Mother,Species,MU,Wild_Hatchery,Pal,Hyb,Sho
BLU_100,RSS_008,SVS,CLMU,h,0.000,0.13539,0.865
BLU_140,RSS_008,SVS,CLMU,h,0.000,0.13539,0.865
BLU_180,RSS_008,SVS,CLMU,h,0.000,0.13539,0.865
BLU_200,RSS_008,SVS,CLMU,h,0.000,0.13539,0.865
ORA_140,RSS_009,SVS,CLMU,h,0.000,0.00067,0.999
ORA_180,RSS_009,SVS,CLMU,h,0.000,0.00067,0.999
ORA_200,RSS_009,SVS,CLMU,h,0.000,0.00067,0.999
PUR_080,RSS_011,SVS,CLMU,h,0.000,0.02183,0.978
PUR_100,RSS_011,SVS,CLMU,h,0.000,0.02183,0.978
PUR_140,RSS_011,SVS,CLMU,h,0.000,0.02183,0.978
PUR_160,RSS_011,SVS,CLMU,h,0.000,0.02183,0.978
PUR_200,RSS_011,SVS,CLMU,h,0.000,0.02183,0.978